rainfall_mm,temperature_c,humidity_pct,river_level_m,elevation_m,soil_moisture,drainage_capacity_pct,population_density,impervious_pct,wind_speed_kmh,land_use_type,previous_flood_history,flood_risk_score,flood_risk
59.84,23.37,72.23,1.26,274.82,0.466,77.74,1840.2,16.52,6.77,Agricultural,0,0.2311,Low
37.36,14.91,70.38,0.34,109.7,0.348,31.41,1537.5,31.11,14.91,Urban,0,0.2812,Low
34.56,9.29,78.44,5.57,18.56,0.278,72.08,902.3,73.8,6.84,Urban,1,0.6814,High
34.56,26.39,58.44,4.02,163.93,0.425,70.15,4927.5,70.33,12.66,Urban,0,0.4962,Medium
116.24,19.38,100.0,4.83,12.02,0.349,5.0,325.7,42.46,11.84,Barren,1,0.6373,Medium
71.67,11.39,53.25,6.29,87.99,0.349,81.31,2433.8,49.58,2.72,Urban,1,0.7153,High
28.28,20.19,53.07,8.34,7.61,0.314,70.38,2744.5,48.27,8.82,Forest,0,0.4116,Medium
61.75,25.75,19.72,4.83,77.59,0.53,69.4,229.9,35.24,9.54,Urban,1,0.5548,Medium
49.97,26.82,78.66,1.86,93.42,0.571,66.36,922.9,31.84,5.67,Suburban,0,0.416,Medium
5.4,25.39,13.52,4.19,83.84,0.515,29.31,5956.2,27.25,7.04,Suburban,0,0.4795,Medium
16.78,19.13,58.85,6.07,69.39,0.0,49.13,1142.5,53.35,6.16,Agricultural,0,0.4099,Medium
52.65,28.16,51.46,0.69,33.55,0.351,77.14,2958.8,68.01,4.13,Barren,1,0.3914,Medium
109.13,23.86,39.1,7.7,11.52,0.517,66.8,707.9,40.73,8.05,Forest,1,0.6197,Medium
34.8,17.87,66.15,2.33,118.15,0.343,78.52,3169.1,75.39,32.56,Coastal,0,0.4233,Medium
26.45,16.18,96.81,7.39,20.14,0.432,20.54,6574.6,22.79,5.45,Forest,0,0.5271,Medium
45.35,25.37,78.14,4.15,57.5,0.363,34.6,131.1,71.6,34.9,Barren,1,0.4596,Medium
25.13,30.08,51.27,2.17,159.78,0.262,100.0,5196.4,34.34,25.28,Barren,0,0.2142,Low
32.94,28.16,100.0,5.57,111.93,0.478,54.58,1494.0,32.57,17.67,Coastal,0,0.4755,Medium
41.23,25.14,51.81,2.9,247.54,0.235,68.56,517.9,48.41,,Suburban,1,0.597,Medium
16.0,28.43,84.68,0.0,137.07,0.297,72.53,678.2,63.95,14.2,Agricultural,0,0.0586,Low
74.25,40.6,33.72,4.14,337.01,0.423,63.24,279.3,30.37,12.55,Forest,1,0.4851,Medium
13.38,26.01,60.82,7.76,29.07,0.18,62.82,814.4,30.85,2.86,Agricultural,0,0.5168,Medium
11.82,25.1,43.6,2.39,5.06,0.372,63.67,1584.2,76.67,2.17,Forest,1,0.4031,Medium
48.35,27.81,100.0,0.7,9.91,0.371,66.77,436.6,77.73,7.46,Urban,0,0.4018,Medium
70.33,29.25,52.54,2.35,27.31,0.324,39.03,620.4,62.69,25.84,Forest,0,0.4232,Medium
47.45,14.65,46.62,3.18,6.53,0.358,72.05,105.2,62.17,9.55,Suburban,1,0.621,Medium
38.04,25.24,73.37,7.7,36.93,0.327,74.64,380.1,71.63,8.47,Coastal,1,0.6051,Medium
32.68,31.03,60.51,0.47,230.05,0.238,58.92,2790.1,36.94,14.52,Agricultural,0,0.2206,Low
